Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Rating_Numeric,Reviews_Numeric,Sizes_Count,Discount_Percentage,Price_Per_Size,Rating_Score,Color_Category
Floral Printed Pure Cotton Fit & Flare Midi Dress,Rain & Rainbow,1147,4.4 | 279 Ratings,279 Ratings,1147,Midi,Mandarin Collar,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-pure-cotton-fit--flare-midi-dress/29918666/buy,Casual,4.4,279,5,0,229.4,4.4,Medium (3)
Floral Printed A-Line Maxi Ethnic Dress With Belt,anayna,1497,4.5 | 3.7k Ratings,3.7k Ratings,1497,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-a-line-maxi-ethnic-dress-with-belt/30745318/buy,Traditional,4.5,3700,7,0,213.8571429,4.5,Medium (3)
Women Floral Printed Empire Ethnic Dress,Ahalyaa,1214,3.9 | 769 Ratings,769 Ratings,1214,Midi,V-Neck,,,,"XS, S, M, L, XL, XXL",3,No,Crepe,https://www.myntra.com/ethnic-dresses/ahalyaa/ahalyaa-women-floral-printed-empire-ethnic-dress/23814298/buy,Traditional,3.9,769,6,0,202.3333333,3.9,Medium (3)
Maroon Gold Floral Maxi Ethnic Dress Cut-Out with Tassels,Ethnovog,2513,,,2513,Maxi,Boat Neck,Three-Quarter Sleeves,,Maxi,"XS, M, XL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-maroon--gold-floral-maxi-ethnic-dress-cut-out-with-tassels/19791600/buy,Traditional,,,4,0,628.25,,High (4)
Floral Printed Round Neck Zipless Maternity Ethnic Dresses,RITIJYA,681,3.4 | 19 Ratings,19 Ratings,681,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL, XXL, 3XL, 4XL",4,No,"Viscose Rayon, Viscose Rayon, Viscose Rayon",https://www.myntra.com/ethnic-dresses/ritijya/ritijya-floral-printed-round-neck-zipless-maternity-ethnic-dresses/32572538/buy,Traditional,3.4,19,7,0,97.28571429,3.4,High (4)
Floral Printed Puff Sleeves Knee Length Fit & Flare Dress,PINK VYBE,499,,,499,Three-Quarter Sleeves,,Three-Quarter Sleeves,,,"S, M, L, XL, XXL",4,No,"blue and white dress
floral printed
fit & flare shaped
mandarin collar
three-quarter, puff sleeves
gathered or pleated detail
knee length length in flared hem
button closure",https://www.myntra.com/ethnic-dresses/pink+vybe/pink-vybe-floral-printed-puff-sleeves-knee-length-fit--flare-dress/37636192/buy,Casual,,,5,0,99.8,,High (4)
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,18558,,,18558,Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625139/buy,Party Wear,,,1,0,18558,,High (4)
Women Fuchsia Floral Embroidered Ethnic Dress,Sangria,1404,,,1404,Maxi,Round Neck,Three-Quarter Sleeves,,,"S, M, L, XL, XXL",4,No,"Silk, Polyester",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-fuchsia-floral-embroidered-ethnic-dress/36880460/buy,Party Wear,,,5,0,280.8,,High (4)
Floral Printed Ethnic Dress,Krunal Raiyani,798,,,798,Maxi,Round Neck,,Regular Sleeves,,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218695/buy,Traditional,,,5,0,159.6,,High (4)
Pink & light gray Floral Ethnic Midi Dress,RANGMANCH BY PANTALOONS,2469,,,2469,Midi,Round Neck,,Regular Sleeves,,M,4,No,Poly Silk,https://www.myntra.com/ethnic-dresses/rangmanch+by+pantaloons/rangmanch-by-pantaloons-pink--light-gray-floral-ethnic-midi-dress/18807184/buy,Party Wear,,,1,0,2469,,High (4)
Batik Floral Dyed Mandarin Collar Gathered Pure Cotton A-Line Ethnic Dresses,Taavi,1139,,,1139,Above Knee,Mandarin Collar,,,A-Line,"XS, S, M, L, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-batik-floral-dyed-mandarin-collar-gathered-pure-cotton-a-line-ethnic-dresses/37948506/buy,Traditional,,,5,0,227.8,,High (4)
Women Floral Printed V-Neck Empire Ethnic Dress,CTMTEX,490,4.1 | 364 Ratings,364 Ratings,490,Maxi,V-Neck,,,,"S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/ctmtex/ctmtex-women-floral-printed-v-neck-empire-ethnic-dress/32183558/buy,Traditional,4.1,364,6,0,81.66666667,4.1,High (4)
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,18558,,,18558,Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625154/buy,Party Wear,,,1,0,18558,,High (4)
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,18558,,,18558,Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625150/buy,Party Wear,,,1,0,18558,,High (4)
Floral Printed Gathered or Pleated Cotton A-Line Ethnic Dress,MURLI KURTI,497,4 | 1.4k Ratings,1.4k Ratings,497,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-gathered-or-pleated-cotton-a-line-ethnic-dress/30742519/buy,Traditional,4,1400,4,0,124.25,4,Medium (3)
Floral Printed A-Line Angrakha Cotton Ethnic Dress,Sangria,792,3.9 | 8 Ratings,8 Ratings,792,Knee Length,V-Neck,,Regular Sleeves,A-Line,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-a-line-angrakha-cotton-ethnic-dress/28159260/buy,Traditional,3.9,8,5,0,158.4,3.9,High (4)
Women Green & Maroon Sequinned Floral Printed Ethnic Maxi Dress,W,2560,4.1 | 114 Ratings,114 Ratings,2560,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS, S",4,No,"Viscose Rayon, Polyester",https://www.myntra.com/ethnic-dresses/w/w-women-green--maroon-sequinned-floral-printed-ethnic-maxi-dress/19642552/buy,Traditional,4.1,114,2,0,1280,4.1,High (4)
Floral-Printed Knitted Midi Ethnic Dresses,Rain & Rainbow,1350,4.7 | 64 Ratings,64 Ratings,1350,Midi,Shoulder Straps,,Regular Sleeves,,"S, M, L, XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-knitted-midi-ethnic-dresses/35905991/buy,Traditional,4.7,64,4,0,337.5,4.7,High (4)
Floral Printed Ethnic Dress,Krunal Raiyani,798,,,798,Maxi,Round Neck,,Regular Sleeves,,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218696/buy,Traditional,,,5,0,159.6,,High (4)
Floral Print Cotton A-Line Ethnic Dress,Sangria,699,4.1 | 112 Ratings,112 Ratings,699,Above Knee,Round Neck,,Regular Sleeves,,"XS, S, M, L, XL, XXL",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-print-cotton-a-line-ethnic-dress/32076375/buy,Traditional,4.1,112,6,0,116.5,4.1,Medium (3)
Floral Printed Tiered Ethnic Dress,Janasya,875,3.9 | 34 Ratings,34 Ratings,875,Midi,Sweetheart Neck,Three-Quarter Sleeves,Regular Sleeves,,"XS, S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33476906/buy,Traditional,3.9,34,6,0,145.8333333,3.9,High (4)
Floral Embroidered Georgette A Line Dress,KALINI,1359,4.3 | 55 Ratings,55 Ratings,1359,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"S
Rs. 1352, M
Rs. 1359, L
Rs. 1359, XL
Rs. 1359, XXL
Rs. 1359",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-georgette-a-line-dress/31240681/buy,Party Wear,4.3,55,5,0,271.8,4.3,Medium (3)
Floral Printed Maternity A-Line Midi Ethnic Dress,MURLI KURTI,497,4.1 | 2.1k Ratings,2.1k Ratings,497,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-maternity-a-line-midi-ethnic-dress/30742507/buy,Traditional,4.1,2100,4,0,124.25,4.1,High (4)
Floral Printed Fit & Flared Maxi Dress,Chandbaali,1356,3.8 | 29 Ratings,29 Ratings,1356,Maxi,Round Neck,,,Maxi,"S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/chandbaali/chandbaali-floral-printed-fit--flared-maxi-dress/33063332/buy,Casual,3.8,29,5,0,271.2,3.8,High (4)
Floral Printed Maternity Ethnic Dress,True Shape,684,4.2 | 267 Ratings,267 Ratings,684,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/true+shape/true-shape-floral-printed-maternity-ethnic-dress/23972954/buy,Traditional,4.2,267,5,0,136.8,4.2,High (4)
Women Floral Printed Ethnic Dress,KALINI,869,4.5 | 6 Ratings,6 Ratings,869,Midi,Round Neck,Three-Quarter Sleeves,,,"S, M, L, XL, XXL, 3XL, 4XL, 5XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-women-floral-printed-ethnic-dress/36903625/buy,Traditional,4.5,6,8,0,108.625,4.5,High (4)
Grey & Blue Floral Ethnic Maxi Dress,KALINI,3599,3.8 | 45 Ratings,45 Ratings,3599,Maxi,Round Neck,,Regular Sleeves,Maxi,M,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/kalini/kalini-grey--blue-floral-ethnic-maxi-dress/19041562/buy,Traditional,3.8,45,1,0,3599,3.8,High (4)
Floral Embroidered Round Neck Gathered Georgette Fit & Flare Maxi Ethnic Dress,KALINI,1359,4.3 | 521 Ratings,521 Ratings,1359,Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-round-neck-gathered-georgette-fit--flare-maxi-ethnic-dress/31209169/buy,Party Wear,4.3,521,5,0,271.8,4.3,Medium (3)
Floral Printed Ruffles Fit & Flare Maxi Dress,anayna,1503,4.5 | 432 Ratings,432 Ratings,1503,Maxi,,,,Maxi,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-ruffles-fit--flare-maxi-dress/22306142/buy,Casual,4.5,432,7,0,214.7142857,4.5,Medium (3)
Magenta Floral Ethnic Maxi Dress,WISHFUL,4440,3.2 | 17 Ratings,17 Ratings,4440,Maxi,Tie-Up Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS, S, M, L",4,No,Georgette,https://www.myntra.com/ethnic-dresses/wishful/wishful-magenta-floral-ethnic-maxi-dress/20628050/buy,Traditional,3.2,17,4,0,1110,3.2,High (4)
Women Floral Embroidered Ethnic Dress,Sangria,1359,4.3 | 126 Ratings,126 Ratings,1359,Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",3,No,"Polyester, Silk",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-embroidered-ethnic-dress/36880462/buy,Party Wear,4.3,126,5,0,271.8,4.3,Medium (3)
Floral Printed Round Neck Cotton Maternity Maxi Ethnic Dresses,MURLI KURTI,536,4.2 | 118 Ratings,118 Ratings,536,Maxi,Round Neck,,,Maxi,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-maternity-maxi-ethnic-dresses/30748844/buy,Traditional,4.2,118,4,0,134,4.2,High (4)
Girls Floral & Sequinned Embroidered Ethnic Dress,Inddus,1879,4.6 | 24 Ratings,24 Ratings,1879,Maxi,V-Neck,,,A-Line,10Y,4,No,Georgette,https://www.myntra.com/ethnic-dresses/inddus/inddus-girls-floral--sequinned-embroidered-ethnic-dress/34362648/buy,Party Wear,4.6,24,1,0,1879,4.6,High (4)
Floral Printed Round Neck Cotton Fit and Flare Maternity Ethnic Dress,MURLI KURTI,495,4.2 | 500 Ratings,500 Ratings,495,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit-and-flare-maternity-ethnic-dress/30742610/buy,Traditional,4.2,500,4,0,123.75,4.2,High (4)
Mustard Yellow & Red Floral Layered Ethnic Maxi Dress,HELLO DESIGN,625,4.1 | 69 Ratings,69 Ratings,625,Maxi,,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/hello+design/hello-design-mustard-yellow--red-floral-layered-ethnic-maxi-dress/17564482/buy,Traditional,4.1,69,4,0,156.25,4.1,High (4)
Beige Floral Print Maxi Ethnic Dress,W,2449,4.1 | 94 Ratings,94 Ratings,2449,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS
Rs. 2449, S
Rs. 2449, M
Rs. 2449, XXL
Rs. 2600",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/w/w-beige-floral-print-maxi-ethnic-dress/22627496/buy,Traditional,4.1,94,4,0,612.25,4.1,Medium (3)
Women Floral Printed Pure Cotton Maternity Ethnic Dresses,Tulsiram,549,4 | 177 Ratings,177 Ratings,549,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/tulsiram/tulsiram-women-floral-printed-pure-cotton-maternity-ethnic-dresses/32396176/buy,Traditional,4,177,4,0,137.25,4,High (4)
Navy Blue & White Floral Ethnic Maxi Dress,Sangria X fwd,365,4.1 | 54 Ratings,54 Ratings,365,Maxi,Round Neck,,,,"XS, S",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/sangria+x+fwd/sangria-x-fwd--navy-blue--white-floral-ethnic-maxi-dress/19033174/buy,Traditional,4.1,54,2,0,182.5,4.1,Medium (3)
Floral Printed Tiered Ethnic Dress,Janasya,875,4 | 5 Ratings,5 Ratings,875,Midi,Square Neck,Three-Quarter Sleeves,Regular Sleeves,,XS,3,Yes,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33476932/buy,Traditional,4,5,1,0,875,4,Medium (3)
Floral Printed Maxi Ethnic Dress,MADHURAM,994,4.3 | 89 Ratings,89 Ratings,994,Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/madhuram/madhuram-floral-printed-maxi-ethnic-dress/28778032/buy,Traditional,4.3,89,2,0,497,4.3,Medium (3)
Women Floral Printed Anarkali Ethnic Dress,NANERA,434,2.4 | 7 Ratings,7 Ratings,434,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL, 3XL, 4XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/nanera/nanera-women-floral-printed-anarkali-ethnic-dress/36649660/buy,Traditional,2.4,7,7,0,62,2.4,High (4)
Floral Printed Round Neck Cotton Fit & Flare Maternity Midi Dress,MURLI KURTI,499,4.1 | 2.1k Ratings,2.1k Ratings,499,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit--flare-maternity-midi-dress/30742607/buy,Casual,4.1,2100,4,0,124.75,4.1,High (4)
Floral Printed Maternity Fit & Flare Pure Cotton Midi Ethnic Dress,MURLI KURTI,498,4.5 | 11 Ratings,11 Ratings,498,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-maternity-fit--flare-pure-cotton-midi-ethnic-dress/37354598/buy,Traditional,4.5,11,5,0,99.6,4.5,High (4)
Floral Printed A-Line Dress,Sangria,836,,,836,Knee Length,Shirt Collar,Short Sleeves,,A-Line,"XS, S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-a-line-dress/39981958/buy,Casual,,,6,0,139.3333333,,High (4)
Floral Embroidered Georgette Maxi Fit and Flare Ethnic Dress,KALINI,1359,4.3 | 517 Ratings,517 Ratings,1359,Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-georgette-maxi-fit-and-flare-ethnic-dress/31209154/buy,Party Wear,4.3,517,5,0,271.8,4.3,High (4)
Kalamkari Indie Floral Printed Pure Cotton A-line Ethnic Dress with Jacket,Taavi,1589,,,1589,Knee Length,Square Neck,,,A-Line,"XS, S, M, L, XL, XXL",4,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-kalamkari-indie-floral-printed-pure-cotton-a-line-ethnic-dress-with-jacket/36500013/buy,Traditional,,,6,0,264.8333333,,High (4)
Floral Printed Gathered or Pleated Cotton A-Line Ethnic Dress,MURLI KURTI,495,4.1 | 60 Ratings,60 Ratings,495,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-gathered-or-pleated-cotton-a-line-ethnic-dress/30742466/buy,Traditional,4.1,60,4,0,123.75,4.1,High (4)
Pink Floral Ethnic Maxi Dress,Ethnovog,3559,3.3 | 6 Ratings,6 Ratings,3559,Maxi,Boat Neck,,Regular Sleeves,Maxi,S,4,No,Cotton,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-pink-floral-ethnic-maxi-dress/14976092/buy,Traditional,3.3,6,1,0,3559,3.3,High (4)
Women Floral Printed Maxi Dress,anayna,894,4.5 | 41.3k Ratings,41.3k Ratings,894,Maxi,Round Neck,,,Maxi,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-women-floral-printed-maxi-dress/26972212/buy,Casual,4.5,41300,7,0,127.7142857,4.5,Medium (3)
Floral Printed Bagru Ethnic Dress,Taavi,1518,4.4 | 34 Ratings,34 Ratings,1518,Midi,,Three-Quarter Sleeves,,,"XS, S, M, XL",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-floral-printed-bagru-ethnic-dress/36499995/buy,Traditional,4.4,34,4,0,379.5,4.4,Medium (3)
Women Floral Embroidered Sequined Thread Cording Maxi Gown Ethnic Dress,Sangria,1600,4.1 | 352 Ratings,352 Ratings,1600,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, L, XL, XXL, 3XL",4,No,Silk,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-embroidered-sequined-thread-cording-maxi-gown-ethnic-dress/37716005/buy,Party Wear,4.1,352,5,0,320,4.1,High (4)
Women Maternity Plus Size Floral Printed Flared Cotton Ethnic Dress,Vaidiki,580,4.6 | 29 Ratings,29 Ratings,580,Maxi,Round Neck,,Regular Sleeves,Maxi,"5XL, 6XL, 7XL, 8XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/vaidiki/vaidiki-women-maternity-plus-size-floral-printed-flared-cotton-ethnic-dress/34431759/buy,Traditional,4.6,29,4,0,145,4.6,High (4)
Floral Printed Round Neck Fit and Flare Cotton Ethnic Dresses,MURLI KURTI,499,4 | 1.4k Ratings,1.4k Ratings,499,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-fit-and-flare-cotton-ethnic-dresses/30742823/buy,Traditional,4,1400,4,0,124.75,4,Medium (3)
Floral Printed Round Neck Cotton Fit and Flare Maternity Ethnic Dress,MURLI KURTI,497,4.1 | 2.1k Ratings,2.1k Ratings,497,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit-and-flare-maternity-ethnic-dress/30742567/buy,Traditional,4.1,2100,4,0,124.25,4.1,Medium (3)
Floral Printed Fit & Flare Midi Ethnic Dresses,Shae by SASSAFRAS,1471,4.3 | 1.1k Ratings,1.1k Ratings,1471,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,,"XS, S, L, XL",3,No,Poly Silk,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-floral-printed-fit--flare-midi-ethnic-dresses/25052808/buy,Party Wear,4.3,1100,4,0,367.75,4.3,Medium (3)
Floral Printed Cotton A-Line Ethnic Dress,GULMOHAR JAIPUR,928,4 | 243 Ratings,243 Ratings,928,Midi,Round Neck,,Regular Sleeves,A-Line,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/gulmohar+jaipur/gulmohar-jaipur-floral-printed-cotton-a-line-ethnic-dress/28162616/buy,Traditional,4,243,5,0,185.6,4,High (4)
Women Floral Thread Embroidered Ethnic Dress,Inddus,1596,4.3 | 73 Ratings,73 Ratings,1596,Maxi,V-Neck,,,,XS,4,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-thread-embroidered-ethnic-dress/40815096/buy,Party Wear,4.3,73,1,0,1596,4.3,High (4)
Purple & Gold-Toned Floral Jacquard Self-Belt Maxi Dress,Shae by SASSAFRAS,1224,4.3 | 1.7k Ratings,1.7k Ratings,1224,Maxi,,,,Maxi,"XS
Rs. 1224, S
Rs. 1224, M
Rs. 1224, L
Rs. 1224, XL
Rs. 999, XXL
Rs. 1224",3,No,Jacquard,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-purple--gold-toned-floral-jacquard-self-belt-maxi-dress/15194498/buy,Seasonal Wear,4.3,1700,6,0,204,4.3,Medium (3)
Floral Printed Maxi Ethnic Dress,Ethnovog,3359,,,3359,Maxi,,,,Maxi,"XS, S",4,No,Georgette,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-floral-printed-maxi-ethnic-dress/23781922/buy,Traditional,,,2,0,1679.5,,High (4)
Floral Printed Round Neck Gathered Fit & Flare Cotton Maternity Ethnic Dress,MURLI KURTI,495,4.1 | 163 Ratings,163 Ratings,495,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-gathered-fit--flare-cotton-maternity-ethnic-dress/30742834/buy,Traditional,4.1,163,4,0,123.75,4.1,High (4)
Floral Printed Maxi Dresses,KALINI,1183,3.1 | 50 Ratings,50 Ratings,1183,Maxi,Sweetheart Neck,,,,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-printed-maxi-dresses/35410769/buy,Casual,3.1,50,5,0,236.6,3.1,High (4)
Floral Printed Pure Cotton A-Line Indigo Craft Ethnic Dress,Taavi,1289,4.1 | 8 Ratings,8 Ratings,1289,Midi,Square Neck,,,A-Line,"XS, S, M, L, XL, XXL",4,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-floral-printed-pure-cotton-a-line-indigo-craft-ethnic-dress/36500143/buy,Traditional,4.1,8,6,0,214.8333333,4.1,High (4)
Floral Printed Maternity Ethnic Dress,True Shape,684,4.2 | 268 Ratings,268 Ratings,684,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/true+shape/true-shape-floral-printed-maternity-ethnic-dress/23972964/buy,Traditional,4.2,268,5,0,136.8,4.2,High (4)
