Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Dress_Type,Price_Category,Size_Count,Rating_Category,Dress_Type_Encoded
Floral Printed Pure Cotton Fit & Flare Midi Dress,Rain & Rainbow,1147,0.0,279.0,1147.0,Midi,Mandarin Collar,Three-Quarter Sleeves,Regular Sleeves,0,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-pure-cotton-fit--flare-midi-dress/29918666/buy,Casual,Casual,High,5,Low,0
Floral Printed A-Line Maxi Ethnic Dress With Belt,anayna,1497,0.0,3700.0,1497.0,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-a-line-maxi-ethnic-dress-with-belt/30745318/buy,Traditional,Traditional,High,7,Low,3
Women Floral Printed Empire Ethnic Dress,Ahalyaa,1214,0.0,769.0,1214.0,Midi,V-Neck,0,0,0,"XS, S, M, L, XL, XXL",3,No,Crepe,https://www.myntra.com/ethnic-dresses/ahalyaa/ahalyaa-women-floral-printed-empire-ethnic-dress/23814298/buy,Traditional,Traditional,High,6,Low,3
Maroon Gold Floral Maxi Ethnic Dress Cut-Out with Tassels,Ethnovog,2513,0.0,0.0,2513.0,Maxi,Boat Neck,Three-Quarter Sleeves,0,Maxi,"XS, M, XL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-maroon--gold-floral-maxi-ethnic-dress-cut-out-with-tassels/19791600/buy,Traditional,Traditional,High,4,Low,3
Floral Printed Round Neck Zipless Maternity Ethnic Dresses,RITIJYA,681,0.0,19.0,681.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL, XXL, 3XL, 4XL",4,No,"Viscose Rayon, Viscose Rayon, Viscose Rayon",https://www.myntra.com/ethnic-dresses/ritijya/ritijya-floral-printed-round-neck-zipless-maternity-ethnic-dresses/32572538/buy,Traditional,Traditional,Medium,7,Low,3
Floral Printed Puff Sleeves Knee Length Fit & Flare Dress,PINK VYBE,499,0.0,0.0,499.0,Three-Quarter Sleeves,0,Three-Quarter Sleeves,0,0,"S, M, L, XL, XXL",4,No,"blue and white dress
floral printed
fit & flare shaped
mandarin collar
three-quarter, puff sleeves
gathered or pleated detail
knee length length in flared hem
button closure",https://www.myntra.com/ethnic-dresses/pink+vybe/pink-vybe-floral-printed-puff-sleeves-knee-length-fit--flare-dress/37636192/buy,Casual,Semi-Formal,Low,5,Low,2
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,18558,0.0,0.0,18558.0,Maxi,0,Short Sleeves,0,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625139/buy,Party Wear,Traditional,High,1,Low,3
Women Fuchsia Floral Embroidered Ethnic Dress,Sangria,1404,0.0,0.0,1404.0,Maxi,Round Neck,Three-Quarter Sleeves,0,0,"S, M, L, XL, XXL",4,No,"Silk, Polyester",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-fuchsia-floral-embroidered-ethnic-dress/36880460/buy,Party Wear,Traditional,High,5,Low,3
Floral Printed Ethnic Dress,Krunal Raiyani,798,0.0,0.0,798.0,Maxi,Round Neck,0,Regular Sleeves,0,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218695/buy,Traditional,Traditional,Medium,5,Low,3
Pink & light gray Floral Ethnic Midi Dress,RANGMANCH BY PANTALOONS,2469,0.0,0.0,2469.0,Midi,Round Neck,0,Regular Sleeves,0,M,4,No,Poly Silk,https://www.myntra.com/ethnic-dresses/rangmanch+by+pantaloons/rangmanch-by-pantaloons-pink--light-gray-floral-ethnic-midi-dress/18807184/buy,Party Wear,Traditional,High,1,Low,3
Batik Floral Dyed Mandarin Collar Gathered Pure Cotton A-Line Ethnic Dresses,Taavi,1139,0.0,0.0,1139.0,Above Knee,Mandarin Collar,0,0,A-Line,"XS, S, M, L, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-batik-floral-dyed-mandarin-collar-gathered-pure-cotton-a-line-ethnic-dresses/37948506/buy,Traditional,Traditional,High,5,Low,3
Women Floral Printed V-Neck Empire Ethnic Dress,CTMTEX,490,0.0,364.0,490.0,Maxi,V-Neck,0,0,0,"S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/ctmtex/ctmtex-women-floral-printed-v-neck-empire-ethnic-dress/32183558/buy,Traditional,Traditional,Low,6,Low,3
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,18558,0.0,0.0,18558.0,Maxi,0,Short Sleeves,0,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625154/buy,Party Wear,Traditional,High,1,Low,3
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,18558,0.0,0.0,18558.0,Maxi,0,Short Sleeves,0,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625150/buy,Party Wear,Traditional,High,1,Low,3
Floral Printed Gathered or Pleated Cotton A-Line Ethnic Dress,MURLI KURTI,497,0.0,1400.0,497.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-gathered-or-pleated-cotton-a-line-ethnic-dress/30742519/buy,Traditional,Traditional,Low,4,Low,3
Floral Printed A-Line Angrakha Cotton Ethnic Dress,Sangria,792,0.0,8.0,792.0,Knee Length,V-Neck,0,Regular Sleeves,A-Line,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-a-line-angrakha-cotton-ethnic-dress/28159260/buy,Traditional,Traditional,Medium,5,Low,3
Women Green & Maroon Sequinned Floral Printed Ethnic Maxi Dress,W,2560,0.0,114.0,2560.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS, S",4,No,"Viscose Rayon, Polyester",https://www.myntra.com/ethnic-dresses/w/w-women-green--maroon-sequinned-floral-printed-ethnic-maxi-dress/19642552/buy,Traditional,Traditional,High,2,Low,3
Floral-Printed Knitted Midi Ethnic Dresses,Rain & Rainbow,1350,0.0,64.0,1350.0,Midi,Shoulder Straps,0,Regular Sleeves,0,"S, M, L, XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-knitted-midi-ethnic-dresses/35905991/buy,Traditional,Traditional,High,4,Low,3
Floral Printed Ethnic Dress,Krunal Raiyani,798,0.0,0.0,798.0,Maxi,Round Neck,0,Regular Sleeves,0,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218696/buy,Traditional,Traditional,Medium,5,Low,3
Floral Print Cotton A-Line Ethnic Dress,Sangria,699,0.0,112.0,699.0,Above Knee,Round Neck,0,Regular Sleeves,0,"XS, S, M, L, XL, XXL",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-print-cotton-a-line-ethnic-dress/32076375/buy,Traditional,Traditional,Medium,6,Low,3
Floral Printed Tiered Ethnic Dress,Janasya,875,0.0,34.0,875.0,Midi,Sweetheart Neck,Three-Quarter Sleeves,Regular Sleeves,0,"XS, S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33476906/buy,Traditional,Traditional,Medium,6,Low,3
Floral Embroidered Georgette A Line Dress,KALINI,1359,0.0,55.0,1359.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"S
Rs. 1352, M
Rs. 1359, L
Rs. 1359, XL
Rs. 1359, XXL
Rs. 1359",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-georgette-a-line-dress/31240681/buy,Party Wear,Traditional,High,5,Low,3
Floral Printed Maternity A-Line Midi Ethnic Dress,MURLI KURTI,497,0.0,2100.0,497.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-maternity-a-line-midi-ethnic-dress/30742507/buy,Traditional,Traditional,Low,4,Low,3
Floral Printed Fit & Flared Maxi Dress,Chandbaali,1356,0.0,29.0,1356.0,Maxi,Round Neck,0,0,Maxi,"S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/chandbaali/chandbaali-floral-printed-fit--flared-maxi-dress/33063332/buy,Casual,Party Wear,High,5,Low,1
Floral Printed Maternity Ethnic Dress,True Shape,684,0.0,267.0,684.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/true+shape/true-shape-floral-printed-maternity-ethnic-dress/23972954/buy,Traditional,Traditional,Medium,5,Low,3
Women Floral Printed Ethnic Dress,KALINI,869,0.0,6.0,869.0,Midi,Round Neck,Three-Quarter Sleeves,0,0,"S, M, L, XL, XXL, 3XL, 4XL, 5XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-women-floral-printed-ethnic-dress/36903625/buy,Traditional,Traditional,Medium,8,Low,3
Grey & Blue Floral Ethnic Maxi Dress,KALINI,3599,0.0,45.0,3599.0,Maxi,Round Neck,0,Regular Sleeves,Maxi,M,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/kalini/kalini-grey--blue-floral-ethnic-maxi-dress/19041562/buy,Traditional,Traditional,High,1,Low,3
Floral Embroidered Round Neck Gathered Georgette Fit & Flare Maxi Ethnic Dress,KALINI,1359,0.0,521.0,1359.0,Maxi,Round Neck,0,Regular Sleeves,Maxi,"S, M, L, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-round-neck-gathered-georgette-fit--flare-maxi-ethnic-dress/31209169/buy,Party Wear,Traditional,High,5,Low,3
Floral Printed Ruffles Fit & Flare Maxi Dress,anayna,1503,0.0,432.0,1503.0,Maxi,0,0,0,Maxi,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-ruffles-fit--flare-maxi-dress/22306142/buy,Casual,Party Wear,High,7,Low,1
Magenta Floral Ethnic Maxi Dress,WISHFUL,4440,0.0,17.0,4440.0,Maxi,Tie-Up Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS, S, M, L",4,No,Georgette,https://www.myntra.com/ethnic-dresses/wishful/wishful-magenta-floral-ethnic-maxi-dress/20628050/buy,Traditional,Traditional,High,4,Low,3
Women Floral Embroidered Ethnic Dress,Sangria,1359,0.0,126.0,1359.0,Maxi,Round Neck,0,Regular Sleeves,Maxi,"S, M, L, XL, XXL",3,No,"Polyester, Silk",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-embroidered-ethnic-dress/36880462/buy,Party Wear,Traditional,High,5,Low,3
Floral Printed Round Neck Cotton Maternity Maxi Ethnic Dresses,MURLI KURTI,536,0.0,118.0,536.0,Maxi,Round Neck,0,0,Maxi,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-maternity-maxi-ethnic-dresses/30748844/buy,Traditional,Traditional,Medium,4,Low,3
Girls Floral & Sequinned Embroidered Ethnic Dress,Inddus,1879,0.0,24.0,1879.0,Maxi,V-Neck,0,0,A-Line,10Y,4,No,Georgette,https://www.myntra.com/ethnic-dresses/inddus/inddus-girls-floral--sequinned-embroidered-ethnic-dress/34362648/buy,Party Wear,Traditional,High,1,Low,3
Floral Printed Round Neck Cotton Fit and Flare Maternity Ethnic Dress,MURLI KURTI,495,0.0,500.0,495.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit-and-flare-maternity-ethnic-dress/30742610/buy,Traditional,Traditional,Low,4,Low,3
Mustard Yellow & Red Floral Layered Ethnic Maxi Dress,HELLO DESIGN,625,0.0,69.0,625.0,Maxi,0,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/hello+design/hello-design-mustard-yellow--red-floral-layered-ethnic-maxi-dress/17564482/buy,Traditional,Traditional,Medium,4,Low,3
Beige Floral Print Maxi Ethnic Dress,W,2449,0.0,94.0,2449.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS
Rs. 2449, S
Rs. 2449, M
Rs. 2449, XXL
Rs. 2600",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/w/w-beige-floral-print-maxi-ethnic-dress/22627496/buy,Traditional,Traditional,High,4,Low,3
Women Floral Printed Pure Cotton Maternity Ethnic Dresses,Tulsiram,549,0.0,177.0,549.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/tulsiram/tulsiram-women-floral-printed-pure-cotton-maternity-ethnic-dresses/32396176/buy,Traditional,Traditional,Medium,4,Low,3
Navy Blue & White Floral Ethnic Maxi Dress,Sangria X fwd,365,0.0,54.0,365.0,Maxi,Round Neck,0,0,0,"XS, S",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/sangria+x+fwd/sangria-x-fwd--navy-blue--white-floral-ethnic-maxi-dress/19033174/buy,Traditional,Traditional,Low,2,Low,3
Floral Printed Tiered Ethnic Dress,Janasya,875,0.0,5.0,875.0,Midi,Square Neck,Three-Quarter Sleeves,Regular Sleeves,0,XS,3,Yes,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33476932/buy,Traditional,Traditional,Medium,1,Low,3
Floral Printed Maxi Ethnic Dress,MADHURAM,994,0.0,89.0,994.0,Maxi,Round Neck,0,Regular Sleeves,Maxi,"S, M",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/madhuram/madhuram-floral-printed-maxi-ethnic-dress/28778032/buy,Traditional,Traditional,Medium,2,Low,3
Women Floral Printed Anarkali Ethnic Dress,NANERA,434,0.0,7.0,434.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"S, M, L, XL, XXL, 3XL, 4XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/nanera/nanera-women-floral-printed-anarkali-ethnic-dress/36649660/buy,Traditional,Traditional,Low,7,Low,3
Floral Printed Round Neck Cotton Fit & Flare Maternity Midi Dress,MURLI KURTI,499,0.0,2100.0,499.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit--flare-maternity-midi-dress/30742607/buy,Casual,Casual,Low,4,Low,0
Floral Printed Maternity Fit & Flare Pure Cotton Midi Ethnic Dress,MURLI KURTI,498,0.0,11.0,498.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-maternity-fit--flare-pure-cotton-midi-ethnic-dress/37354598/buy,Traditional,Traditional,Low,5,Low,3
Floral Printed A-Line Dress,Sangria,836,0.0,0.0,836.0,Knee Length,Shirt Collar,Short Sleeves,0,A-Line,"XS, S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-a-line-dress/39981958/buy,Casual,Semi-Formal,Medium,6,Low,2
Floral Embroidered Georgette Maxi Fit and Flare Ethnic Dress,KALINI,1359,0.0,517.0,1359.0,Maxi,Round Neck,0,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-georgette-maxi-fit-and-flare-ethnic-dress/31209154/buy,Party Wear,Traditional,High,5,Low,3
Kalamkari Indie Floral Printed Pure Cotton A-line Ethnic Dress with Jacket,Taavi,1589,0.0,0.0,1589.0,Knee Length,Square Neck,0,0,A-Line,"XS, S, M, L, XL, XXL",4,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-kalamkari-indie-floral-printed-pure-cotton-a-line-ethnic-dress-with-jacket/36500013/buy,Traditional,Traditional,High,6,Low,3
Floral Printed Gathered or Pleated Cotton A-Line Ethnic Dress,MURLI KURTI,495,0.0,60.0,495.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-gathered-or-pleated-cotton-a-line-ethnic-dress/30742466/buy,Traditional,Traditional,Low,4,Low,3
Pink Floral Ethnic Maxi Dress,Ethnovog,3559,0.0,6.0,3559.0,Maxi,Boat Neck,0,Regular Sleeves,Maxi,S,4,No,Cotton,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-pink-floral-ethnic-maxi-dress/14976092/buy,Traditional,Traditional,High,1,Low,3
Women Floral Printed Maxi Dress,anayna,894,0.0,41300.0,894.0,Maxi,Round Neck,0,0,Maxi,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-women-floral-printed-maxi-dress/26972212/buy,Casual,Party Wear,Medium,7,Low,1
Floral Printed Bagru Ethnic Dress,Taavi,1518,0.0,34.0,1518.0,Midi,0,Three-Quarter Sleeves,0,0,"XS, S, M, XL",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-floral-printed-bagru-ethnic-dress/36499995/buy,Traditional,Traditional,High,4,Low,3
Women Floral Embroidered Sequined Thread Cording Maxi Gown Ethnic Dress,Sangria,1600,0.0,352.0,1600.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"S, L, XL, XXL, 3XL",4,No,Silk,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-embroidered-sequined-thread-cording-maxi-gown-ethnic-dress/37716005/buy,Party Wear,Traditional,High,5,Low,3
Women Maternity Plus Size Floral Printed Flared Cotton Ethnic Dress,Vaidiki,580,0.0,29.0,580.0,Maxi,Round Neck,0,Regular Sleeves,Maxi,"5XL, 6XL, 7XL, 8XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/vaidiki/vaidiki-women-maternity-plus-size-floral-printed-flared-cotton-ethnic-dress/34431759/buy,Traditional,Traditional,Medium,4,Low,3
Floral Printed Round Neck Fit and Flare Cotton Ethnic Dresses,MURLI KURTI,499,0.0,1400.0,499.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-fit-and-flare-cotton-ethnic-dresses/30742823/buy,Traditional,Traditional,Low,4,Low,3
Floral Printed Round Neck Cotton Fit and Flare Maternity Ethnic Dress,MURLI KURTI,497,0.0,2100.0,497.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit-and-flare-maternity-ethnic-dress/30742567/buy,Traditional,Traditional,Low,4,Low,3
Floral Printed Fit & Flare Midi Ethnic Dresses,Shae by SASSAFRAS,1471,0.0,1100.0,1471.0,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,0,"XS, S, L, XL",3,No,Poly Silk,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-floral-printed-fit--flare-midi-ethnic-dresses/25052808/buy,Party Wear,Traditional,High,4,Low,3
Floral Printed Cotton A-Line Ethnic Dress,GULMOHAR JAIPUR,928,0.0,243.0,928.0,Midi,Round Neck,0,Regular Sleeves,A-Line,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/gulmohar+jaipur/gulmohar-jaipur-floral-printed-cotton-a-line-ethnic-dress/28162616/buy,Traditional,Traditional,Medium,5,Low,3
Women Floral Thread Embroidered Ethnic Dress,Inddus,1596,0.0,73.0,1596.0,Maxi,V-Neck,0,0,0,XS,4,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-thread-embroidered-ethnic-dress/40815096/buy,Party Wear,Traditional,High,1,Low,3
Purple & Gold-Toned Floral Jacquard Self-Belt Maxi Dress,Shae by SASSAFRAS,1224,0.0,1700.0,1224.0,Maxi,0,0,0,Maxi,"XS
Rs. 1224, S
Rs. 1224, M
Rs. 1224, L
Rs. 1224, XL
Rs. 999, XXL
Rs. 1224",3,No,Jacquard,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-purple--gold-toned-floral-jacquard-self-belt-maxi-dress/15194498/buy,Seasonal Wear,Party Wear,High,6,Low,1
Floral Printed Maxi Ethnic Dress,Ethnovog,3359,0.0,0.0,3359.0,Maxi,0,0,0,Maxi,"XS, S",4,No,Georgette,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-floral-printed-maxi-ethnic-dress/23781922/buy,Traditional,Traditional,High,2,Low,3
Floral Printed Round Neck Gathered Fit & Flare Cotton Maternity Ethnic Dress,MURLI KURTI,495,0.0,163.0,495.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-gathered-fit--flare-cotton-maternity-ethnic-dress/30742834/buy,Traditional,Traditional,Low,4,Low,3
Floral Printed Maxi Dresses,KALINI,1183,0.0,50.0,1183.0,Maxi,Sweetheart Neck,0,0,0,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-printed-maxi-dresses/35410769/buy,Casual,Party Wear,High,5,Low,1
Floral Printed Pure Cotton A-Line Indigo Craft Ethnic Dress,Taavi,1289,0.0,8.0,1289.0,Midi,Square Neck,0,0,A-Line,"XS, S, M, L, XL, XXL",4,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-floral-printed-pure-cotton-a-line-indigo-craft-ethnic-dress/36500143/buy,Traditional,Traditional,High,6,Low,3
Floral Printed Maternity Ethnic Dress,True Shape,684,0.0,268.0,684.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/true+shape/true-shape-floral-printed-maternity-ethnic-dress/23972964/buy,Traditional,Traditional,Medium,5,Low,3
