Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link
Floral Printed A-Line Maxi Ethnic Dress With Belt,anayna,₹1497,4.5 | 3.7k Ratings,3.7k Ratings,₹1497 MRP ₹4898(69% OFF),Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-a-line-maxi-ethnic-dress-with-belt/30745318/buy
Women Floral Printed Empire Ethnic Dress,Ahalyaa,₹1214,3.9 | 769 Ratings,769 Ratings,₹1214 MRP ₹5300(77% OFF),Midi,V-Neck,,,,"XS, S, M, L, XL, XXL",3,No,Crepe,https://www.myntra.com/ethnic-dresses/ahalyaa/ahalyaa-women-floral-printed-empire-ethnic-dress/23814298/buy
Maroon Gold Floral Maxi Ethnic Dress Cut-Out with Tassels,Ethnovog,₹2513,,,₹2513 MRP ₹6168(59% OFF),Maxi,Boat Neck,Three-Quarter Sleeves,,Maxi,"XS, M, XL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-maroon--gold-floral-maxi-ethnic-dress-cut-out-with-tassels/19791600/buy
Floral Printed Round Neck Zipless Maternity Ethnic Dresses,RITIJYA,₹681,3.4 | 19 Ratings,19 Ratings,₹681 MRP ₹2999(77% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL, XXL, 3XL, 4XL",4,No,"Viscose Rayon, Viscose Rayon, Viscose Rayon",https://www.myntra.com/ethnic-dresses/ritijya/ritijya-floral-printed-round-neck-zipless-maternity-ethnic-dresses/32572538/buy
Floral Printed Puff Sleeves Knee Length Fit & Flare Dress,PINK VYBE,₹499,,,₹499 MRP ₹1999(75% OFF),Three-Quarter Sleeves,,Three-Quarter Sleeves,,,"S, M, L, XL, XXL",4,No,"blue and white dress
floral printed
fit & flare shaped
mandarin collar
three-quarter, puff sleeves
gathered or pleated detail
knee length length in flared hem
button closure",https://www.myntra.com/ethnic-dresses/pink+vybe/pink-vybe-floral-printed-puff-sleeves-knee-length-fit--flare-dress/37636192/buy
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,₹18558,,,₹18558 MRP ₹34999(47% OFF),Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625139/buy
Women Fuchsia Floral Embroidered Ethnic Dress,Sangria,₹1404,,,₹1404 MRP ₹4299(67% OFF),Maxi,Round Neck,Three-Quarter Sleeves,,,"S, M, L, XL, XXL",4,No,"Silk, Polyester",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-fuchsia-floral-embroidered-ethnic-dress/36880460/buy
Floral Printed Ethnic Dress,Krunal Raiyani,₹798,,,₹798 MRP ₹1999(60% OFF),Maxi,Round Neck,,Regular Sleeves,,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218695/buy
Pink & light gray Floral Ethnic Midi Dress,RANGMANCH BY PANTALOONS,₹2469,,,₹2469 MRP ₹3799(35% OFF),Midi,Round Neck,,Regular Sleeves,,M,4,No,Poly Silk,https://www.myntra.com/ethnic-dresses/rangmanch+by+pantaloons/rangmanch-by-pantaloons-pink--light-gray-floral-ethnic-midi-dress/18807184/buy
Batik Floral Dyed Mandarin Collar Gathered Pure Cotton A-Line Ethnic Dresses,Taavi,₹1139,,,₹1139 MRP ₹3799(70% OFF),Above Knee,Mandarin Collar,,,A-Line,"XS, S, M, L, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-batik-floral-dyed-mandarin-collar-gathered-pure-cotton-a-line-ethnic-dresses/37948506/buy
Women Floral Printed V-Neck Empire Ethnic Dress,CTMTEX,₹490,4.1 | 364 Ratings,364 Ratings,₹490 MRP ₹2999(84% OFF),Maxi,V-Neck,,,,"S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/ctmtex/ctmtex-women-floral-printed-v-neck-empire-ethnic-dress/32183558/buy
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,₹18558,,,₹18558 MRP ₹34999(47% OFF),Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625154/buy
Floral Embroidered Maxi Ethnic Dress With Dupatta,SAPTRANGI,₹18558,,,₹18558 MRP ₹34999(47% OFF),Maxi,,Short Sleeves,,Maxi,S,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-embroidered-maxi-ethnic-dress-with-dupatta-/33625150/buy
Floral Printed Gathered or Pleated Cotton A-Line Ethnic Dress,MURLI KURTI,₹497,4 | 1.4k Ratings,1.4k Ratings,₹497 MRP ₹2949(83% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-gathered-or-pleated-cotton-a-line-ethnic-dress/30742519/buy
Floral Printed A-Line Angrakha Cotton Ethnic Dress,Sangria,₹792,3.9 | 8 Ratings,8 Ratings,₹792 MRP ₹4999(84% OFF),Knee Length,V-Neck,,Regular Sleeves,A-Line,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-a-line-angrakha-cotton-ethnic-dress/28159260/buy
Women Green & Maroon Sequinned Floral Printed Ethnic Maxi Dress,W,₹2560,4.1 | 114 Ratings,114 Ratings,₹2560 MRP ₹3999(36% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS, S",4,No,"Viscose Rayon, Polyester",https://www.myntra.com/ethnic-dresses/w/w-women-green--maroon-sequinned-floral-printed-ethnic-maxi-dress/19642552/buy
Floral-Printed Knitted Midi Ethnic Dresses,Rain & Rainbow,₹1350,4.7 | 64 Ratings,64 Ratings,₹1350 MRP ₹4995(73% OFF),Midi,Shoulder Straps,,Regular Sleeves,,"S, M, L, XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-knitted-midi-ethnic-dresses/35905991/buy
Floral Printed Ethnic Dress,Krunal Raiyani,₹798,,,₹798 MRP ₹1999(60% OFF),Maxi,Round Neck,,Regular Sleeves,,"S, M, L, XL, XXL",4,No,Crepe,https://www.myntra.com/ethnic-dresses/krunal+raiyani/krunal-raiyani-floral-printed-ethnic-dress/40218696/buy
Floral Print Cotton A-Line Ethnic Dress,Sangria,₹699,4.1 | 112 Ratings,112 Ratings,₹699 MRP ₹2799(75% OFF),Above Knee,Round Neck,,Regular Sleeves,,"XS, S, M, L, XL, XXL",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-print-cotton-a-line-ethnic-dress/32076375/buy
Floral Printed Tiered Ethnic Dress,Janasya,₹875,3.9 | 34 Ratings,34 Ratings,₹875 MRP ₹2689(67% OFF),Midi,Sweetheart Neck,Three-Quarter Sleeves,Regular Sleeves,,"XS, S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33476906/buy
Floral Embroidered Georgette A Line Dress,KALINI,₹1359,4.3 | 55 Ratings,55 Ratings,₹1359 MRP ₹7999(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"S
Rs. 1352, M
Rs. 1359, L
Rs. 1359, XL
Rs. 1359, XXL
Rs. 1359",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-georgette-a-line-dress/31240681/buy
Floral Printed Maternity A-Line Midi Ethnic Dress,MURLI KURTI,₹497,4.1 | 2.1k Ratings,2.1k Ratings,₹497 MRP ₹2949(83% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-maternity-a-line-midi-ethnic-dress/30742507/buy
Floral Printed Fit & Flared Maxi Dress,Chandbaali,₹1356,3.8 | 29 Ratings,29 Ratings,₹1356 MRP ₹8799(85% OFF),Maxi,Round Neck,,,Maxi,"S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/chandbaali/chandbaali-floral-printed-fit--flared-maxi-dress/33063332/buy
Floral Printed Maternity Ethnic Dress,True Shape,₹684,4.2 | 267 Ratings,267 Ratings,₹684 MRP ₹2699(75% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/true+shape/true-shape-floral-printed-maternity-ethnic-dress/23972954/buy
Women Floral Printed Ethnic Dress,KALINI,₹869,4.5 | 6 Ratings,6 Ratings,₹869 MRP ₹4699(82% OFF),Midi,Round Neck,Three-Quarter Sleeves,,,"S, M, L, XL, XXL, 3XL, 4XL, 5XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-women-floral-printed-ethnic-dress/36903625/buy
Grey & Blue Floral Ethnic Maxi Dress,KALINI,MRP₹ 3599,3.8 | 45 Ratings,45 Ratings,MRP₹ 3599,Maxi,Round Neck,,Regular Sleeves,Maxi,M,4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/kalini/kalini-grey--blue-floral-ethnic-maxi-dress/19041562/buy
Floral Embroidered Round Neck Gathered Georgette Fit & Flare Maxi Ethnic Dress,KALINI,₹1359,4.3 | 521 Ratings,521 Ratings,₹1359 MRP ₹7999(83% OFF),Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-round-neck-gathered-georgette-fit--flare-maxi-ethnic-dress/31209169/buy
Floral Printed Ruffles Fit & Flare Maxi Dress,anayna,₹1503,4.5 | 432 Ratings,432 Ratings,₹1503 MRP ₹5998(75% OFF),Maxi,,,,Maxi,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-ruffles-fit--flare-maxi-dress/22306142/buy
Magenta Floral Ethnic Maxi Dress,WISHFUL,₹4440,3.2 | 17 Ratings,17 Ratings,₹4440 MRP ₹6999(37% OFF),Maxi,Tie-Up Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS, S, M, L",4,No,Georgette,https://www.myntra.com/ethnic-dresses/wishful/wishful-magenta-floral-ethnic-maxi-dress/20628050/buy
Women Floral Embroidered Ethnic Dress,Sangria,₹1359,4.3 | 126 Ratings,126 Ratings,₹1359 MRP ₹4099(67% OFF),Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",3,No,"Polyester, Silk",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-embroidered-ethnic-dress/36880462/buy
Floral Printed Round Neck Cotton Maternity Maxi Ethnic Dresses,MURLI KURTI,₹536,4.2 | 118 Ratings,118 Ratings,₹536 MRP ₹2949(82% OFF),Maxi,Round Neck,,,Maxi,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-maternity-maxi-ethnic-dresses/30748844/buy
Girls Floral & Sequinned Embroidered Ethnic Dress,Inddus,₹1879,4.6 | 24 Ratings,24 Ratings,₹1879 MRP ₹4699(60% OFF),Maxi,V-Neck,,,A-Line,10Y,4,No,Georgette,https://www.myntra.com/ethnic-dresses/inddus/inddus-girls-floral--sequinned-embroidered-ethnic-dress/34362648/buy
Floral Printed Round Neck Cotton Fit and Flare Maternity Ethnic Dress,MURLI KURTI,₹495,4.2 | 500 Ratings,500 Ratings,₹495 MRP ₹2949(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit-and-flare-maternity-ethnic-dress/30742610/buy
Mustard Yellow & Red Floral Layered Ethnic Maxi Dress,HELLO DESIGN,₹625,4.1 | 69 Ratings,69 Ratings,₹625 MRP ₹2199(72% OFF),Maxi,,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/hello+design/hello-design-mustard-yellow--red-floral-layered-ethnic-maxi-dress/17564482/buy
Beige Floral Print Maxi Ethnic Dress,W,₹2449,4.1 | 94 Ratings,94 Ratings,₹2449 MRP ₹4999(51% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS
Rs. 2449, S
Rs. 2449, M
Rs. 2449, XXL
Rs. 2600",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/w/w-beige-floral-print-maxi-ethnic-dress/22627496/buy
Women Floral Printed Pure Cotton Maternity Ethnic Dresses,Tulsiram,₹549,4 | 177 Ratings,177 Ratings,₹549 MRP ₹2499(78% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/tulsiram/tulsiram-women-floral-printed-pure-cotton-maternity-ethnic-dresses/32396176/buy
Navy Blue & White Floral Ethnic Maxi Dress,Sangria X fwd,₹365,4.1 | 54 Ratings,54 Ratings,₹365 MRP ₹1899(81% OFF),Maxi,Round Neck,,,,"XS, S",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/sangria+x+fwd/sangria-x-fwd--navy-blue--white-floral-ethnic-maxi-dress/19033174/buy
Floral Printed Tiered Ethnic Dress,Janasya,₹875,4 | 5 Ratings,5 Ratings,₹875 MRP ₹3748(77% OFF),Midi,Square Neck,Three-Quarter Sleeves,Regular Sleeves,,XS,3,Yes,Georgette,https://www.myntra.com/ethnic-dresses/janasya/janasya-floral-printed-tiered-ethnic-dress/33476932/buy
Floral Printed Maxi Ethnic Dress,MADHURAM,₹994,4.3 | 89 Ratings,89 Ratings,₹994 MRP ₹6999(86% OFF),Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/madhuram/madhuram-floral-printed-maxi-ethnic-dress/28778032/buy
Women Floral Printed Anarkali Ethnic Dress,NANERA,₹434,2.4 | 7 Ratings,7 Ratings,₹434 MRP ₹1215(64% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL, 3XL, 4XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/nanera/nanera-women-floral-printed-anarkali-ethnic-dress/36649660/buy
Floral Printed Round Neck Cotton Fit & Flare Maternity Midi Dress,MURLI KURTI,₹499,4.1 | 2.1k Ratings,2.1k Ratings,₹499 MRP ₹2949(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit--flare-maternity-midi-dress/30742607/buy
Floral Printed Maternity Fit & Flare Pure Cotton Midi Ethnic Dress,MURLI KURTI,₹498,4.5 | 11 Ratings,11 Ratings,₹498 MRP ₹2949(83% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-maternity-fit--flare-pure-cotton-midi-ethnic-dress/37354598/buy
Floral Printed A-Line Dress,Sangria,₹836,,,₹836 MRP ₹2699(69% OFF),Knee Length,Shirt Collar,Short Sleeves,,A-Line,"XS, S, M, L, XL, XXL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-printed-a-line-dress/39981958/buy
Floral Embroidered Georgette Maxi Fit and Flare Ethnic Dress,KALINI,₹1359,4.3 | 517 Ratings,517 Ratings,₹1359 MRP ₹7999(83% OFF),Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,No,Georgette,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-embroidered-georgette-maxi-fit-and-flare-ethnic-dress/31209154/buy
Kalamkari Indie Floral Printed Pure Cotton A-line Ethnic Dress with Jacket,Taavi,₹1589,,,₹1589 MRP ₹5299(70% OFF),Knee Length,Square Neck,,,A-Line,"XS, S, M, L, XL, XXL",4,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-kalamkari-indie-floral-printed-pure-cotton-a-line-ethnic-dress-with-jacket/36500013/buy
Floral Printed Gathered or Pleated Cotton A-Line Ethnic Dress,MURLI KURTI,₹495,4.1 | 60 Ratings,60 Ratings,₹495 MRP ₹2949(83% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-gathered-or-pleated-cotton-a-line-ethnic-dress/30742466/buy
Pink Floral Ethnic Maxi Dress,Ethnovog,MRP₹ 3559,3.3 | 6 Ratings,6 Ratings,MRP₹ 3559,Maxi,Boat Neck,,Regular Sleeves,Maxi,S,4,No,Cotton,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-pink-floral-ethnic-maxi-dress/14976092/buy
Women Floral Printed Maxi Dress,anayna,₹894,4.5 | 41.3k Ratings,41.3k Ratings,₹894 MRP ₹2698(67% OFF),Maxi,Round Neck,,,Maxi,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-women-floral-printed-maxi-dress/26972212/buy
Floral Printed Bagru Ethnic Dress,Taavi,₹1518,4.4 | 34 Ratings,34 Ratings,₹1518 MRP ₹4899(69% OFF),Midi,,Three-Quarter Sleeves,,,"XS, S, M, XL",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-floral-printed-bagru-ethnic-dress/36499995/buy
Women Floral Embroidered Sequined Thread Cording Maxi Gown Ethnic Dress,Sangria,₹1600,4.1 | 352 Ratings,352 Ratings,₹1600 MRP ₹4849(67% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, L, XL, XXL, 3XL",4,No,Silk,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-embroidered-sequined-thread-cording-maxi-gown-ethnic-dress/37716005/buy
Women Maternity Plus Size Floral Printed Flared Cotton Ethnic Dress,Vaidiki,₹580,4.6 | 29 Ratings,29 Ratings,₹580 MRP ₹1599(64% OFF),Maxi,Round Neck,,Regular Sleeves,Maxi,"5XL, 6XL, 7XL, 8XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/vaidiki/vaidiki-women-maternity-plus-size-floral-printed-flared-cotton-ethnic-dress/34431759/buy
Floral Printed Round Neck Fit and Flare Cotton Ethnic Dresses,MURLI KURTI,₹499,4 | 1.4k Ratings,1.4k Ratings,₹499 MRP ₹2949(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-fit-and-flare-cotton-ethnic-dresses/30742823/buy
Floral Printed Round Neck Cotton Fit and Flare Maternity Ethnic Dress,MURLI KURTI,₹497,4.1 | 2.1k Ratings,2.1k Ratings,₹497 MRP ₹2949(83% OFF),Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-cotton-fit-and-flare-maternity-ethnic-dress/30742567/buy
Floral Printed Fit & Flare Midi Ethnic Dresses,Shae by SASSAFRAS,₹1471,4.3 | 1.1k Ratings,1.1k Ratings,₹1471 MRP ₹3199(54% OFF),Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,,"XS, S, L, XL",3,No,Poly Silk,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-floral-printed-fit--flare-midi-ethnic-dresses/25052808/buy
Floral Printed Cotton A-Line Ethnic Dress,GULMOHAR JAIPUR,₹928,4 | 243 Ratings,243 Ratings,₹928 MRP ₹1999(54% OFF),Midi,Round Neck,,Regular Sleeves,A-Line,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/gulmohar+jaipur/gulmohar-jaipur-floral-printed-cotton-a-line-ethnic-dress/28162616/buy
Women Floral Thread Embroidered Ethnic Dress,Inddus,₹1596,4.3 | 73 Ratings,73 Ratings,₹1596 MRP ₹4199(62% OFF),Maxi,V-Neck,,,,XS,4,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-thread-embroidered-ethnic-dress/40815096/buy
Purple & Gold-Toned Floral Jacquard Self-Belt Maxi Dress,Shae by SASSAFRAS,₹1224,4.3 | 1.7k Ratings,1.7k Ratings,₹1224 MRP ₹2498(51% OFF),Maxi,,,,Maxi,"XS
Rs. 1224, S
Rs. 1224, M
Rs. 1224, L
Rs. 1224, XL
Rs. 999, XXL
Rs. 1224",3,No,Jacquard,https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-purple--gold-toned-floral-jacquard-self-belt-maxi-dress/15194498/buy
Floral Printed Maxi Ethnic Dress,Ethnovog,₹3359,,,₹3359 MRP ₹8452(60% OFF),Maxi,,,,Maxi,"XS, S",4,No,Georgette,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-floral-printed-maxi-ethnic-dress/23781922/buy
Floral Printed Round Neck Gathered Fit & Flare Cotton Maternity Ethnic Dress,MURLI KURTI,₹495,4.1 | 163 Ratings,163 Ratings,₹495 MRP ₹2949(83% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-gathered-fit--flare-cotton-maternity-ethnic-dress/30742834/buy
Floral Printed Maxi Dresses,KALINI,₹1183,3.1 | 50 Ratings,50 Ratings,₹1183 MRP ₹3199(63% OFF),Maxi,Sweetheart Neck,,,,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-floral-printed-maxi-dresses/35410769/buy
Floral Printed Pure Cotton A-Line Indigo Craft Ethnic Dress,Taavi,₹1289,4.1 | 8 Ratings,8 Ratings,₹1289 MRP ₹4299(70% OFF),Midi,Square Neck,,,A-Line,"XS, S, M, L, XL, XXL",4,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-floral-printed-pure-cotton-a-line-indigo-craft-ethnic-dress/36500143/buy
Floral Printed Maternity Ethnic Dress,True Shape,₹684,4.2 | 268 Ratings,268 Ratings,₹684 MRP ₹2699(75% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/true+shape/true-shape-floral-printed-maternity-ethnic-dress/23972964/buy
Indie Floral Foil Printed Gathers V-Neck A-Line Rogan Crafted Ethnic Dress,Taavi,₹923,4.4 | 5 Ratings,5 Ratings,₹923 MRP ₹3299(72% OFF),Midi,V-Neck,,,A-Line,"XS, S, M, L, XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-indie-floral-foil-printed-gathers-v-neck-a-line-rogan-crafted-ethnic-dress/36500085/buy
